;text;page;x_0;x_1;y_0;y_1;original_font;font_name;code;bold;italic;font_size;id;pos_x;pos_y;abs_pos;masked;rgb;len_text;n_tokens;tag;box;in_element_ids;in_element;is_loop
0;E-PRTR pollutants and their thresholds  ;0;146.04;454.14102600000007;87.88152000000002;69.46986000000004;JMGKBP+Verdana,Bold;Verdana;JMGKBP;1;0;18.411659999999983;0;300.09051300000004;78.67569000000003;(300.09051300000004, 763.32431);e-prtr pollutants and their thresholds;(0.825, 0.0, 0.175, 0.0);38;5;value;0;[-1, -1, -1, 289];none;0
1; facility has to report data under E-PRTR if it fulfils the following criteria:   ;0;77.684622;455.56988400000006;109.67388000000005;96.47753999999998;JMGKCB+Verdana;Verdana;JMGKCB;0;0;13.196340000000077;1;266.62725300000005;103.07571000000002;(266.62725300000005, 738.9242899999999);facility has to report data under e-prtr if it fulfils the following criteria:;(0.7804878048780488, 0.0, 0.21951219512195122, 0.0);78;13;key;1;[-1, -1, -1, 289];none;0
2;the facility falls under at least one of the 65 E-PRTR economic activities. The  ;0;106.85985600000002;495.95619600000003;121.85419200000001;108.79782;JMGKCB+Verdana;Verdana;JMGKCB;0;0;13.05637200000001;2;301.408026;115.326006;(301.408026, 726.673994);the facility falls under at least one of the # e-prtr economic activities. the;(0.7654320987654321, 0.024691358024691357, 0.19753086419753085, 0.012345679012345678);79;14;value;2;[-1, -1, -1, 289];none;0
3;activities are also reported using a statistical classification of economic activities  ;0;106.85955600000005;514.6515119999999;134.03419199999996;120.97813199999996;JMGKCB+Verdana;Verdana;JMGKCB;0;0;13.056060000000002;3;310.755534;127.50616199999996;(310.755534, 714.4938380000001);activities are also reported using a statistical classification of economic activities;(0.8636363636363636, 0.0, 0.13636363636363635, 0.0);86;11;value;2;[-1, -1, -1, 289];none;0
4;(NACE rev 2)   ;0;106.859556;180.170214;146.15438399999994;133.09782000000007;JMGKCB+Verdana;Verdana;JMGKCB;0;0;13.056563999999867;4;143.514885;139.626102;(143.514885, 702.373898);(nace rev #);(0.4666666666666667, 0.06666666666666667, 0.4666666666666667, 0.0);12;3;value;2;[-1, -1, -1, 289];none;0
5;the facility has a capacity exceeding at least one of the E-PRTR capacity  ;0;106.85988599999999;473.17505399999993;158.33419200000003;145.27813200000003;JMGKCB+Verdana;Verdana;JMGKCB;0;0;13.056060000000002;5;290.01746999999995;151.80616200000003;(290.01746999999995, 690.1938379999999);the facility has a capacity exceeding at least one of the e-prtr capacity;(0.8, 0.0, 0.2, 0.0);73;13;value;2;[-1, -1, -1, 289];none;0
6;thresholds   ;0;106.86;166.19099400000002;170.45388000000003;157.39782000000002;JMGKCB+Verdana;Verdana;JMGKCB;0;0;13.056060000000002;6;136.525497;163.92585000000003;(136.525497, 678.0741499999999);thresholds;(0.7692307692307693, 0.0, 0.23076923076923078, 0.0);10;1;value;2;[-1, -1, -1, 289];none;0
7;the facility releases pollutants or transfers waste off-site which exceed specific  ;0;106.85956800000001;506.02330199999994;182.63419199999998;169.57813199999998;JMGKCB+Verdana;Verdana;JMGKCB;0;0;13.056060000000002;7;306.44143499999996;176.10616199999998;(306.44143499999996, 665.893838);the facility releases pollutants or transfers waste off-site which exceed specific;(0.8452380952380952, 0.0, 0.15476190476190477, 0.0);82;11;value;2;[-1, -1, -1, 289];none;0
8;thresholds set out in Article 5 of the E-PRTR Regulation. These thresholds for  ;0;106.85956800000002;498.9874019999999;194.75438399999996;181.6978200000001;JMGKCB+Verdana;Verdana;JMGKCB;0;0;13.056563999999867;8;302.92348499999997;188.22610200000003;(302.92348499999997, 653.7738979999999);thresholds set out in article # of the e-prtr regulation. these thresholds for;(0.7875, 0.0125, 0.1875, 0.0125);78;13;value;2;[-1, -1, -1, 289];none;0
9;releases of pollutants are specified for each media - air, water and land - in Annex  ;0;106.85971200000003;526.0163519999999;206.93419200000005;193.87813200000005;JMGKCB+Verdana;Verdana;JMGKCB;0;0;13.056060000000002;9;316.43803199999996;200.40616200000005;(316.43803199999996, 641.593838);releases of pollutants are specified for each media - air, water and land - in annex;(0.7674418604651163, 0.0, 0.22093023255813954, 0.011627906976744186);84;16;value;2;[-1, -1, -1, -1];none;0
